id,name,slug,city,state,zipCode,latitude,longitude,division,conference
"cmovlhs4x0020qt203vlxxxip","Bluefield State","bluefield-state","Bluefield","West Virginia","","","","",""
"cmovormud002oqt7gjo8xcygt","Bluffton University","bluffton-university","","OH","","","","",""
"cmou3xrc4006oqt5s6xbcss6r","Boise State University","boise-state-university","Boise","ID","","","","",""
"cmox2o0mg000cqtbk6xnygyvm","Borough of Manhattan Community College","borough-of-manhattan-community-college","","NY","","","","",""
"cmox1gf9h000rqtsg5p7im7p5","Bossier Parish Community College","bossier-parish-community-college","","LA","","","","",""
"cmosownei0000qtuolkw0dovw","Boston College","boston-college","Chestnut Hill","MA","","","","",""
"cmou7skg500fuqtagtydmsfwo","Bowling Green State University","bowling-green-state-university","Bowling Green","OH","","","","",""
"cmou7wk9s00h3qt5skvjnlqhv","Bradley University","bradley-university","Peoria","IL","","","","",""
"cmovormvv002rqt7glyofod7r","Brandeis University","brandeis-university","","MA","","","","",""
"cmowzrz46000rqt4wrxx7o7a9","Brescia","brescia","","KY","","","","",""
"cmorj0h1e0030qtio8oel8hpk","Brevard College","brevard-college","Brevard","NC","","","","",""
"cmowzrz5k000uqt4wc3s1vgx6","Brewton-Parker","brewton-parker","","GA","","","","",""
"cmowzrz74000xqt4wdm59y6gz","Briar Cliff","briar-cliff","","IA","","","","",""
"cmovlhs6e0023qt20tqa24mev","Bridgeport","bridgeport","Bridgeport","Connecticut","","","","",""
"cmovormzs002xqt7g2q35bc1i","Bridgewater College (Virginia)","bridgewater-college-virginia","","VA","","","","",""
"cmovorn1l0030qt7g2ufsvzwt","Bridgewater State University","bridgewater-state-university","","MA","","","","",""
"cmox064lo001iqtgcjv8mnkmc","British Columbia","british-columbia","","BC","","","","",""
"cmox2o0ny000fqtbkdjwm6sfi","Bronx Community College","bronx-community-college","","NY","","","","",""
"cmox2o0pe000iqtbk5zpv57jm","Brookdale Community College","brookdale-community-college","","NJ","","","","",""
"cmou7ekn200e3qtx8xqee53qh","Brown University","brown-university","Providence","RI","","","","",""
"cmox2350b000xqtfk7ry7jc8q","Brunswick Community College","brunswick-community-college","","NC","","","","",""
"cmowzrz8k0010qt4wjdckub80","Bryan","bryan","","TN","","","","",""
"cmorj0ha0003iqtion1ocego7","Bryan College","bryan-college","Dayton","TN","","","","",""
"cmox2351r0010qtfki4exm5ci","Bryant & Stratton","bryant-and-stratton","","OH","","","","",""
"cmox235370013qtfk8y2sxj30","Bryant & Stratton College","bryant-and-stratton-college","","WI","","","","",""
"cmou853uk00kiqtiwr4lsp4p6","Bucknell University","bucknell-university","Lewisburg","PA","","","","",""
"cmovorn450033qt7g7o81jtxu","Buena Vista University","buena-vista-university","","IA","","","","",""
"cmovorn6f0036qt7g441tdknv","Buffalo State, State University of New York","buffalo-state-state-university-of-new-york","","NY","","","","",""
"cmox2o0qy000lqtbkb5hvpuw9","Bunker Hill Community College","bunker-hill-community-college","","MA","","","","",""
"cmowzrz9y0013qt4w9muhmjp3","Bushnell","bushnell","","OR","","","","",""
"cmox1gfaz000uqtsg2kizpb3y","Butler Community College - KS","butler-community-college-ks","","KS","","","","",""
"cmou6b9zt00a9qticvdpbknf5","Butler University","butler-university","Indianapolis","IN","","","","",""
"cmox2359d001fqtfkt0k7hmwr","CC of Allegheny County","cc-of-allegheny-county","","PA","","","","",""
"cmox235ap001iqtfkim5jqg9p","CCBC Catonsville","ccbc-catonsville","","MD","","","","",""
"cmox235c3001lqtfkwf51n64p","CCBC Dundalk","ccbc-dundalk","","MD","","","","",""
"cmox235di001oqtfk48ov0qw8","CCBC Essex","ccbc-essex","","MD","","","","",""
"cmowzrzhj001iqt4wu3gf43ii","CIU","ciu","","SC","","","","",""
"cmovlhtlg0050qt20wdcy3hel","CSU Pueblo","csu-pueblo","Pueblo","Colorado","","","","",""
"cmovorn7z0039qt7gofoaab8p","Cairn University","cairn-university","","PA","","","","",""
"cmovlhs970029qt20yd3flr8f","Cal Poly Pomona","cal-poly-pomona","Pomona","California","","","","",""
"cmovlhsam002cqt20pv0oe6ri","Cal State Dominguez Hills","cal-state-dominguez-hills","Carson","California","","","","",""
"cmovlhsc0002fqt20cwit19mj","Cal State East Bay","cal-state-east-bay","Hayward","California","","","","",""
"cmovlhsde002iqt20f9btgc0e","Cal State Los Angeles","cal-state-los-angeles","Los Angeles","California","","","","",""
"cmovlhset002lqt20pjef7x4j","Cal State Monterey Bay","cal-state-monterey-bay","Seaside","California","","","","",""
"cmovlhsg9002oqt20bci04mfd","Cal State San Bernardino","cal-state-san-bernardino","San Bernardino","California","","","","",""
"cmovlhshl002rqt20c0s8gsn7","Cal State San Marcos","cal-state-san-marcos","San Marcos","California","","","","",""
"cmovlhsiz002uqt20bcz8909f","Cal State Stanislaus","cal-state-stanislaus","Turlock","California","","","","",""
"cmovlhs7t0026qt20364mi6rj","Caldwell","caldwell","Caldwell","New Jersey","","","","",""
"cmox2o0se000oqtbk5p23woms","Caldwell Community College & Technical Institute","caldwell-community-college-and-technical-institute","","NC","","","","",""
"cmox1gfce000xqtsgvavjcgow","Calhoun Community College","calhoun-community-college","","AL","","","","",""
"cmovlhskc002xqt20uytty0s7","California (PA)","california-pa","California","Pennsylvania","","","","",""
"cmou8ctii00nlqtlojaynels8","California Baptist University","california-baptist-university","Riverside","CA","","","","",""
"cmovorn9g003cqt7g3j6pvu2i","California Institute of Technology","california-institute-of-technology","","CA","","","","",""
"cmovornaw003fqt7gjgozynjs","California Lutheran University","california-lutheran-university","","CA","","","","",""
"cmou7y6to00iiqtoccnzql78p","California State University Fresno","california-state-university-fresno","Fresno","CA","","","","",""
"cmowzrzbf0016qt4wfhlncr35","Calumet","calumet","","IN","","","","",""
"cmovorncf003iqt7glut87nsf","Calvin University","calvin-university","","MI","","","","",""
"cmox2o0tx000rqtbkzs7n60v2","Camden County College","camden-county-college","","NJ","","","","",""
"cmovlhslq0030qt20qud0l15o","Cameron","cameron","Lawton","Oklahoma","","","","",""
"cmox2o0vd000uqtbkyhkbt6ij","Camp Community College","camp-community-college","","VA","","","","",""
"cmorirv530010qtm0xxcup0nz","Campbell University","campbell-university","Buies Creek","NC","","","","",""
"cmox064r0001uqtgcyhmfa4ad","Campbellsville","campbellsville","","KY","","","","",""
"cmou7g4yd00erqtkwsinl2cv7","Canisius University","canisius-university","Buffalo","NY","","","","",""
"cmovorndx003lqt7gf3ync7z5","Capital University","capital-university","","OH","","","","",""
"cmox2354r0016qtfkakmcyf2u","Carl Albert State College","carl-albert-state-college","","OK","","","","",""
"cmox235690019qtfkbqjl2dwv","Carl Sandburg College","carl-sandburg-college","","IL","","","","",""
"cmovornfe003oqt7gxb2orxhy","Carleton College","carleton-college","","MN","","","","",""
"cmovorngs003rqt7gw97aavio","Carlow University","carlow-university","","PA","","","","",""
"cmowzrzct0019qt4wgwahltd6","Carolina","carolina","","N.C.","","","","",""
"cmovorni6003uqt7gy8bee8k5","Carroll University (Wisconsin)","carroll-university-wisconsin","","WI","","","","",""
"cmorjat1z004uqt4wcy4dc9a9","Carson-Newman University","carson-newman-university","Jefferson City","TN","","","","",""
"cmovlhsn50033qt2045onupu0","Carson–Newman","carson-newman","Jefferson City","Tennessee","","","","",""
"cmovornjl003xqt7go41f8xvw","Carthage College","carthage-college","","WI","","","","",""
"cmovornl20040qt7ge5ab4ihb","Case Western Reserve University","case-western-reserve-university","","OH","","","","",""
"cmovlhsoi0036qt20a0hkubod","Catawba","catawba","Salisbury","North Carolina","","","","",""
"cmorj0gws002rqtiorgfzda9h","Catawba College","catawba-college","Salisbury","NC","","","","",""
"cmox2357y001cqtfkolbve8a8","Catawba Valley Community College","catawba-valley-community-college","","NC","","","","",""
"cmovornmy0043qt7gwhrnk0m6","Catholic University","catholic-university","","DC","","","","",""
"cmox2o0wt000xqtbk9plqcdqd","Cayuga Community College","cayuga-community-college","","NY","","","","",""
"cmox235ew001rqtfk7hveubl8","Cecil College","cecil-college","","MD","","","","",""
"cmovlhspw0039qt20xbg1u0i3","Cedarville","cedarville","Cedarville","Ohio","","","","",""
"cmovornof0046qt7g0l3xfj25","Centenary College (Louisiana)","centenary-college-louisiana","","LA","","","","",""
"cmovornpw0049qt7gy3z4yz6r","Centenary University (New Jersey)","centenary-university-new-jersey","","NJ","","","","",""
"cmox235gc001uqtfklqh3okg2","Central Alabama Community College","central-alabama-community-college","","AL","","","","",""
"cmox1gfdw0010qtsgqhkf3e53","Central Arizona College","central-arizona-college","","AZ","","","","",""
"cmowzrzeb001cqt4wjs0rswex","Central Baptist","central-baptist","","ARK.","","","","",""
"cmowzrzfr001fqt4wjyk1e88l","Central Christian","central-christian","","KS","","","","",""
"cmovornrg004cqt7gs5y6myfv","Central College (Iowa)","central-college-iowa","","IA","","","","",""
"cmou7zw9900j0qt18f8v0lvet","Central Connecticut State University","central-connecticut-state-university","New Britain","CT","","","","",""
"cmox2o0y90010qtbkd2383oke","Central Lakes College-Brainerd","central-lakes-college-brainerd","","MN","","","","",""
"cmox064v10023qtgczbgq56zf","Central Methodist","central-methodist","","MO","","","","",""
"cmou7skhl00fxqtagpa6mymfq","Central Michigan University","central-michigan-university","Mount Pleasant","MI","","","","",""
"cmovlhsra003cqt20g9m80ph7","Central Missouri","central-missouri","Warrensburg","Missouri","","","","",""
"cmovlhsso003fqt20m8hwl8fs","Central Oklahoma","central-oklahoma","Edmond","Oklahoma","","","","",""
"cmovlhsu4003iqt20zmpq4jwt","Central Washington","central-washington","Ellensburg","Washington","","","","",""
"cmovorntm004fqt7gnaky96ao","Centre College","centre-college","","KY","","","","",""
"cmox2o0zq0013qtbkuh4wv7ct","Century College","century-college","","MN","","","","",""
"cmovlhsvj003lqt209l897594","Chaminade","chaminade","Honolulu","Hawaii","","","","",""
"cmox235hr001xqtfk8edzbigb","Chandler-Gilbert Community College","chandler-gilbert-community-college","","AZ","","","","",""
"cmovornvf004iqt7g0gvvkosm","Chapman University","chapman-university","","CA","","","","",""
"cmovlhsx1003oqt20ojp6ncph","Charleston (WV)","charleston-wv","Charleston","West Virginia","","","","",""
"cmou6tv0000b6qti0uw8kd0th","Charleston Southern University","charleston-southern-university","Charleston","SC","","","","",""
"cmovornwx004lqt7gknjky6jn","Chatham University","chatham-university","","PA","","","","",""
"cmox1gffa0013qtsgti41kyix","Chattahoochee Valley Community College","chattahoochee-valley-community-college","","AL","","","","",""
"cmox1gfgo0016qtsgs9ugt5nt","Chattanooga State Community College","chattanooga-state-community-college","","TN","","","","",""
"cmox235j70020qtfkl3uukpn3","Chesapeake College","chesapeake-college","","MD","","","","",""
"cmovlhsyg003rqt20hxxyjm8v","Chestnut Hill","chestnut-hill","Philadelphia","Pennsylvania","","","","",""
"cmovlhszu003uqt20vedg0aye","Chico State","chico-state","Chico","California","","","","",""
"cmox1gfi80019qtsgps2z311s","Chipola  College","chipola-college","","FL","","","","",""
"cmovlht1a003xqt2035itxshf","Chowan","chowan","Murfreesboro","North Carolina","","","","",""
"cmovlht2n0040qt20mrxozpfq","Christian Brothers","christian-brothers","Memphis","Tennessee","","","","",""
"cmovornyc004oqt7gv7ftlyau","Christopher Newport University","christopher-newport-university","","VA","","","","",""
"cmox1gfjl001cqtsggloi1bif","Cisco College","cisco-college","","TX","","","","",""
"cmovlht420043qt20jxz6elgz","Claflin","claflin","Orangeburg","South Carolina","","","","",""
"cmovornzy004rqt7gcy4a8rhq","Claremont McKenna-Harvey Mudd-Scripps Colleges","claremont-mckenna-harvey-mudd-scripps-colleges","","CA","","","","",""
"cmox1gfl0001fqtsgrzw6ofzz","Clarendon College","clarendon-college","","TX","","","","",""
"cmovlht8k0049qt20i96vsaib","Clarion","clarion","Clarion","Pennsylvania","","","","",""
"cmovlht5k0046qt20ifm6zkcf","Clark Atlanta","clark-atlanta","Atlanta","Georgia","","","","",""
"cmox235km0023qtfkno6e1o10","Clark State College","clark-state-college","","OH","","","","",""
"cmowzrzj0001lqt4wws226tj0","Clarke","clarke","","IA","","","","",""
"cmovoro1h004uqt7gtkh9ajbi","Clarkson University","clarkson-university","","NY","","","","",""
"cmowzrzkk001oqt4wwekf7ggs","Cleary","cleary","","MI","","","","",""
"cmorihuy70003qth8lteegu87","Clemson University","clemson-university","Clemson","SC","","","","",""
"cmorjat750056qt4wgah72i8t","Cleveland Community College","cleveland-community-college","Shelby","NC","","","","",""
"cmox1gfme001iqtsg23nqcgwc","Cleveland State Community College","cleveland-state-community-college","","TN","","","","",""
"cmox1gfnw001lqtsg7fvs7z66","Cloud County Community College","cloud-county-community-college","","KS","","","","",""
"cmox235nt0029qtfkhy9cb6k7","Coahoma Community College","coahoma-community-college","","MS","","","","",""
"cmox235p7002cqtfkantrt3ir","Coastal Alabama - North","coastal-alabama-north","","AL","","","","",""
"cmox1gfp7001oqtsgbphrk1lp","Coastal Alabama - South","coastal-alabama-south","","AL","","","","",""
"cmox1gfqj001rqtsgskc12egd","Coastal Bend College","coastal-bend-college","","TX","","","","",""
"cmou3bz97005rqtvofgt7p17h","Coastal Carolina University","coastal-carolina-university","Conway","SC","","","","",""
"cmox1gfrx001uqtsgjm4zjbds","Cochise College","cochise-college","","AZ","","","","",""
"cmovoro37004xqt7gejqc062h","Coe College","coe-college","","IA","","","","",""
"cmox1gft9001xqtsg5fezijcy","Coffeyville Community College","coffeyville-community-college","","KS","","","","",""
"cmovlhtk1004xqt20njtti1j5","Coker","coker","Hartsville","South Carolina","","","","",""
"cmorj0go50029qtiomu7nhxok","Coker University","coker-university","Hartsville","SC","","","","",""
"cmovoro4q0050qt7gtqoup40h","Colby College","colby-college","","ME","","","","",""
"cmox1gfum0020qtsgezoyy7fd","Colby Community College","colby-community-college","","KS","","","","",""
"cmovoro660053qt7glc7trly7","Colby-Sawyer College","colby-sawyer-college","","NH","","","","",""
"cmox1gfvz0023qtsggc70ytsw","College of Central Florida","college-of-central-florida","","FL","","","","",""
"cmorihv0l0006qth8tj4axfti","College of Charleston","college-of-charleston","Charleston","SC","","","","",""
"cmox2o1170016qtbkgk4vxtdy","College of DuPage","college-of-dupage","","IL","","","","",""
"cmox06509002fqtgcjaki8slx","College of Idaho","college-of-idaho","","ID","","","","",""
"cmox235qm002fqtfkuqtlw0fr","College of Lake County","college-of-lake-county","","IL","","","","",""
"cmovoro7k0056qt7g26xc8nu2","College of Saint Benedict","college-of-saint-benedict","","MN","","","","",""
"cmox1gfxe0026qtsgf9u98eeg","College of Southern Idaho","college-of-southern-idaho","","ID","","","","",""
"cmox235rz002iqtfkwm4d9287","College of Southern Maryland","college-of-southern-maryland","","ND","","","","",""
"cmox1gfyv0029qtsgyyiotlq4","College of Southern Nevada","college-of-southern-nevada","","NV","","","","",""
"cmou853vy00klqtiwxsprvd34","College of the Holy Cross","college-of-the-holy-cross","Worcester","MA","","","","",""
"cmovlhta1004cqt20lxgtck5b","Colorado Christian","colorado-christian","Lakewood","Colorado","","","","",""
"cmovoro8z0059qt7goc8b9pqu","Colorado College","colorado-college","","CO","","","","",""
"cmovlhtbe004fqt20uc4nwxoq","Colorado Mesa","colorado-mesa","Grand Junction","Colorado","","","","",""
"cmovlhtcz004iqt20abm4bop1","Colorado Mines","colorado-mines","Golden","Colorado","","","","",""
"cmox1gg09002cqtsgt5n277or","Colorado Northwestern Community College","colorado-northwestern-community-college","","CO","","","","",""
"cmou3xres006rqt5sroo5bttq","Colorado State University","colorado-state-university","Fort Collins","CO","","","","",""
"cmowzrzm0001rqt4wm5n56kzt","Columbia","columbia","","MO","","","","",""
"cmox1gg1n002fqtsgwq02qnch","Columbia State Community College","columbia-state-community-college","","TN","","","","",""
"cmou7ekoe00e6qtx8h6vtazjr","Columbia University","columbia-university","New York","NY","","","","",""
"cmox2o12r0019qtbkypzghh8j","Columbia-Greene Community College","columbia-greene-community-college","","NY","","","","",""
"cmovlhtef004lqt20d2rdayo5","Columbus State","columbus-state","Columbus","Georgia","","","","",""
"cmox235tc002lqtfk1sxcqpye","Community Christian","community-christian","","MI","","","","",""
"cmox1gg33002iqtsgotxbo0qh","Community Christian College","community-christian-college","","CA","","","","",""
"cmox2o14a001cqtbkkjdwv4pc","Community College of Rhode Island","community-college-of-rhode-island","","ND","","","","",""
"cmovlhtft004oqt20oarwcrfn","Concord","concord","Athens","West Virginia","","","","",""
"cmowzrzng001uqt4wid2g788z","Concordia","concordia","","NEB.","","","","",""
"cmovoroal005cqt7gnld3llgt","Concordia College, Moorhead","concordia-college-moorhead","","MN","","","","",""
"cmovorobz005fqt7gqpjdftxm","Concordia University Chicago","concordia-university-chicago","","IL","","","","",""
